ESEMBLID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20
gene238	0.14830084	0.47905636	0.6738318	0.17320159	0.089226425	0.09105862	0.2711402	0.0	0.5028189	0.70657676	0.8554615	0.94551915	0.63023436	0.22357477	0.44256112	0.5652172	0.9218491	0.72358716	0.5875722	1.0
gene239	0.3755571	0.58114296	0.37596467	0.1923375	0.14406934	0.3839498	0.19541763	0.0	0.42795622	1.0	0.6117934	0.38154536	0.5864279	0.2606119	0.4756349	0.60357887	0.8680644	0.41439548	0.6679761	0.6180733
gene240	0.37343213	0.35185346	0.13402583	0.63134843	1.0	0.84295195	0.31241173	0.24126606	0.19588204	0.24639755	0.2827969	0.030737218	0.15684131	0.32425007	0.53186226	0.53456	0.0	0.37870583	0.70864207	0.19084254
gene241	0.36951518	0.28389636	0.7955842	0.7244217	1.0	0.6073284	0.0	0.33693743	0.24673165	0.56482494	0.14810473	0.43707433	0.29014066	0.5443045	0.5952543	0.39102423	0.52811533	0.38336682	0.5254719	0.14850257
gene242	0.22425675	0.88613474	0.0	0.92108494	0.38938478	1.0	0.7021648	0.87721515	0.1373941	0.39563572	0.63712466	0.5555693	0.93364334	0.60391694	0.41227505	0.50729257	0.1986506	0.23046486	0.11796303	0.2187788
gene243	0.5487892	0.1846012	0.0	0.50124675	0.65101856	0.4562578	1.0	0.8157514	0.6220894	0.124231756	0.52198213	0.22547787	0.42657563	0.5552683	0.089383535	0.8353935	0.27210513	0.73437	0.2510844	0.24762008
gene244	0.16378708	0.27556252	0.16999964	0.3789307	0.551794	0.3781358	0.22599708	1.0	0.14717168	0.09646851	0.4384251	0.23812762	0.13494737	0.17947498	0.17571716	0.15418096	0.03286286	0.0	0.065865636	0.007589377
gene245	0.11816783	0.20427266	0.011870978	0.0	0.020487476	0.71503353	0.21992977	0.28750348	0.5963562	0.5031949	0.45512646	0.3952795	0.27431676	0.35430533	0.43646377	0.7222846	0.6984993	0.9445289	1.0	0.5016788
gene246	0.4306597	0.20490894	1.0	0.3718521	0.22566749	0.18399875	0.35819933	0.17218386	0.39686355	0.5193754	0.38031405	0.24498954	0.0	0.44660074	0.38995633	0.20049413	0.366147	0.46311978	0.26012003	0.44087863
gene247	0.2051786	0.21018693	0.70365953	0.39286307	0.059739847	0.4142674	0.07840789	0.0	0.37709183	0.37432918	0.5714313	0.50588584	0.45137805	0.7896296	0.2337568	1.0	0.68502885	0.31908146	0.22038805	0.9365731
gene248	0.0	0.79343307	0.38001004	0.46287704	0.31725246	0.7944876	0.8393784	0.7226462	0.099457495	0.111163065	0.40232024	0.07405292	0.78436416	0.2895871	0.09141157	0.12096433	0.36195266	0.34553242	0.3377177	1.0
gene249	0.10542978	0.8969446	0.16504654	1.0	0.7227704	0.70805067	0.38512287	0.80632806	0.18726254	0.222266	0.29173604	0.36128664	0.63655704	0.4888802	0.5578676	0.04630199	0.23874116	0.33150262	0.0	0.007996967
gene250	0.18702924	0.26994336	0.2238885	0.34621006	0.0	0.2679731	0.22339404	0.038540196	0.5328625	0.4854183	0.468574	0.32007778	0.5920523	0.18854924	0.07223152	0.67922395	1.0	0.4830358	0.6495048	0.9175656
gene251	0.26910675	0.66515344	0.76671636	0.7529399	1.0	0.6694998	0.02707405	0.0	0.6477641	0.67223775	0.5242377	0.65713996	0.4931229	0.79638976	0.63200307	0.42027393	0.8461197	0.43210784	0.88894635	0.49438706
gene252	0.0633104	0.31099144	0.79121894	0.9062198	0.28167108	0.46703064	0.091837466	0.0	0.33621338	0.6813672	0.41183493	0.16356212	0.5681822	0.7549019	0.36851087	1.0	0.12439013	0.48080686	0.6253662	0.15582283
gene253	0.32500914	0.046015035	0.69050264	0.06869209	0.14252216	0.0	0.16683565	0.06940548	0.5035747	0.421964	0.0060235085	0.029832745	0.16538545	0.03495705	0.23846477	0.471947	0.47215903	1.0	0.4428079	0.23475802
gene254	0.3159005	0.18982866	0.2873643	0.0	0.32154414	0.47429067	0.1577813	0.5656347	0.7325023	0.3939998	1.0	0.96125793	0.32921043	0.32081118	0.84104604	0.6563617	0.27817985	0.75007534	0.4543025	0.9047545
gene255	0.07462232	0.24757376	0.07929573	0.10887958	0.0	0.37432984	0.19318649	0.43416664	0.32096207	0.6296083	0.46705973	0.4647474	0.35498208	0.32889077	0.30413023	1.0	0.40611053	0.54091203	0.6095892	0.66922516
gene256	0.20591068	0.654048	0.47183695	0.81246173	1.0	0.6651876	0.19331212	0.41988137	0.33271334	0.48993883	0.45537373	0.6708733	0.78418106	0.95115715	0.38705736	0.011543057	0.29639542	0.0	0.7663945	0.2457923
gene257	0.21833168	0.24207178	0.10962822	0.5230648	1.0	0.24406248	0.41341773	0.40874285	0.105221115	0.1686765	0.18603903	0.04022196	0.34986636	0.25769052	0.28308848	0.074049845	0.059047244	0.0	0.08245974	0.003237922
gene258	0.20402458	0.64253503	0.6797132	0.58372045	0.063742645	0.04429798	0.0	0.039862446	0.4609417	0.6700577	0.3436781	0.46249405	0.74772865	0.44757918	0.09437976	0.5725115	0.74779147	0.07835133	0.35930482	1.0
gene259	0.05482459	0.36909288	0.0	0.43430373	0.3998199	0.6652523	0.41967595	0.45247006	0.29714322	0.2854489	0.9218497	0.8560044	1.0	0.82784027	0.2059975	0.30708444	0.651196	0.18829556	0.53325295	0.43280116
gene260	0.8752489	0.55702406	0.9074968	0.796436	0.8432815	0.6217738	0.6086936	1.0	0.27990195	0.3813567	0.42883146	0.41462755	0.7112989	0.56183404	0.86237293	0.5448228	0.4020121	0.40992507	0.54482055	0.0
gene261	0.67146343	0.62393606	0.54187006	0.22860752	0.031671494	0.212711	1.0	0.4856769	0.17549753	0.3460805	0.15128303	0.12757103	0.22818422	0.21988519	0.24996962	0.63712233	0.6014631	0.44082606	0.0	0.45666766
gene262	0.15811455	0.363156	0.17531009	0.6933324	0.17229679	0.35793698	0.444153	0.049806345	0.70287514	1.0	0.60440725	0.7151578	0.49041742	0.61732036	0.0	0.5069287	0.25495827	0.20661066	0.839514	0.7228886
gene263	0.34552744	0.16605552	0.7555865	0.019304696	0.025988048	0.57509387	0.12159641	0.20891608	0.53549874	0.24951524	0.45711693	0.31489822	0.23764901	0.24337149	0.0	1.0	0.02503286	0.66490704	0.9135877	0.18779634
gene264	0.29357377	0.49837327	0.18790293	0.31047168	0.0	0.31106004	0.29652682	0.08413283	0.5152081	0.36592048	0.42464533	0.37247428	0.41353253	0.4049103	0.12766308	0.77015	0.4576356	0.5629046	0.5887037	1.0
gene265	0.06623761	1.0	0.0	0.8649186	0.8511704	0.5922224	0.5942378	0.7513708	0.46445623	0.3651119	0.5848942	0.5738328	0.90121657	0.3080861	0.58439016	0.6362139	0.26680943	0.7966179	0.54897594	0.585358
gene266	0.14343764	0.308565	0.0	0.06633344	0.29543272	0.4520136	0.34186077	0.29376978	0.29418007	0.68834955	0.43964985	0.33225062	0.29081592	0.51184285	0.192262	1.0	0.6070359	0.9781243	0.59013987	0.6195142
gene267	0.08780475	0.35496005	0.20248415	0.4573207	0.10216879	0.6049452	0.1909922	0.69436866	0.0	0.36808756	0.3922193	0.16685781	1.0	0.13180791	0.17394218	0.8184765	0.3587953	0.23344292	0.31108388	0.5348546
gene268	0.8684342	0.11121809	0.38208964	0.1303092	0.17224014	0.20140931	0.0	0.12117584	0.28288916	0.36731076	0.22629222	0.63385904	0.40069145	0.07922963	0.24743178	1.0	0.92254686	0.7419614	0.5059073	0.7660312
gene269	0.0	0.6668122	0.14864151	0.6597681	1.0	0.55312645	0.670701	0.7616975	0.13520038	0.27142906	0.7132585	0.51612777	0.3903022	0.6820212	0.71965617	0.31613746	0.2962832	0.21295424	0.05534214	0.3286286
gene270	0.17345461	0.15181707	1.0	0.07742437	0.4483996	0.036316596	0.0	0.26252562	0.9793159	0.11367795	0.72193694	0.0879218	0.43572327	0.08703028	0.42693952	0.3749832	0.26425073	0.2654365	0.046354044	0.073465675
gene271	0.32446334	0.3704256	0.23143172	0.14628959	0.15947679	0.02775553	0.11081123	0.09486844	0.0	0.2865378	0.11899533	0.25224468	0.5932055	0.27938145	0.2680383	0.62154543	1.0	0.24762557	0.4435038	0.8267654
gene272	0.30655771	0.43693826	0.47434375	0.0	0.6928154	0.30335367	0.43109396	0.2733797	0.5179956	0.74736303	0.5443947	0.33734283	0.34770828	0.36334684	0.13621731	0.48664045	0.80964315	0.39571458	1.0	0.67362034
gene273	0.5235443	0.5641078	0.5714886	0.20307846	0.30021474	0.0	0.29369298	0.3094399	0.350239	0.44127744	0.48227826	0.3386886	0.35860455	0.10437769	0.5601874	0.74418044	0.7816119	0.6534259	0.4930951	1.0
gene274	0.0	1.0	0.102277584	0.705916	0.23262948	0.46871504	0.053460807	0.62907636	0.06019471	0.22254477	0.1897262	0.5772442	0.33032086	0.5533761	0.6524038	0.70006514	0.39344934	0.14943182	0.660785	0.85755664
gene275	0.053673856	0.80576056	0.041479126	0.83067983	0.5445597	0.5738867	0.5000789	1.0	0.0	0.18443199	0.6561375	0.42149198	0.52814555	0.5166602	0.33546153	0.19677615	0.23490019	0.22342898	0.063471444	0.11140108
gene276	0.46072197	0.69408125	0.19400631	0.5748839	1.0	0.72913945	0.47076663	0.6086085	0.44748297	0.45072743	0.41501617	0.2946016	0.54684824	0.790283	0.53848076	0.31455466	0.0	0.29610777	0.24010551	0.11867118
gene277	0.14801273	0.20866366	0.38162032	0.1419684	0.17749564	0.58529603	0.0	0.40081635	0.5750091	0.894942	0.5507974	0.34735942	0.69033396	0.46365353	0.3916572	1.0	0.53966475	0.5528678	0.6698044	0.71079105
gene278	0.00438882	0.6062111	0.3582001	0.2165628	1.0	0.24911073	0.60817826	0.040226854	0.0	0.21064514	0.7955461	0.29131326	0.48698527	0.1328174	0.3966946	0.44481078	0.11751029	0.21246226	0.05113018	0.27671558
gene279	0.38679183	0.16672625	0.28536332	0.08398433	0.0	0.023446046	0.2367437	0.33881235	0.39129394	0.53381956	0.28662735	0.54522663	0.25600043	0.056441594	0.19656579	1.0	0.83701473	0.99981016	0.53106904	0.977785
gene280	0.44713745	0.0	0.26710224	0.14349756	0.27352577	0.12551112	0.27160227	0.12472711	0.54939806	0.7164397	0.20110355	0.4755321	0.58095145	0.23697661	0.4180718	0.71930516	0.8973796	1.0	0.54357606	0.75356823
gene281	0.0	0.06257016	0.17341906	0.1492233	0.26857617	0.33491957	0.063060425	0.15887228	0.54197294	0.44850102	0.39904326	0.35559195	0.10813351	0.20352983	0.20736474	1.0	0.35926953	0.45459133	0.49234506	0.6115484
gene282	1.0	0.26244026	0.9041782	0.27660555	0.5174032	0.29155007	0.40589255	0.26136962	0.59934443	0.27644762	0.24076822	0.2718024	0.4048329	0.40711775	0.335372	0.0	0.3758597	0.20774159	0.6894764	0.05764229
gene283	0.3874267	0.74305344	0.19248948	1.0	0.66010535	0.29608384	0.61429644	0.8496537	0.2875863	0.13652991	0.54359907	0.042550467	0.3201122	0.5642887	0.28351486	0.15872012	0.0	0.06183373	0.68540585	0.09620098
gene284	0.7854031	0.35352173	0.65923053	0.30874702	0.0	0.27468762	0.64054674	0.16565077	0.8942491	0.2808167	0.514185	1.0	0.58985007	0.2642823	0.26386768	0.8439695	0.29509124	0.96364194	0.36913875	0.07078794
gene285	0.2207651	0.5444698	0.50291836	0.99941903	1.0	0.9165557	0.21966158	0.40104222	0.43258277	0.45331845	0.39028186	0.3074371	0.5297521	0.83238494	0.5816838	0.36249268	0.5473427	0.2669009	0.47829905	0.0
gene286	0.30299002	0.22162567	0.27927992	0.30886674	1.0	0.4173742	0.24367125	0.4272782	0.18252678	0.31227714	0.3125431	0.23991829	0.19816624	0.3184893	0.21721697	0.29442602	0.0	0.2731292	0.28145742	0.19609573
gene287	0.3572434	0.91899353	0.08712263	0.6963539	0.70369	0.63081425	0.86520797	0.90595424	0.7314727	0.24656257	0.52277154	0.28810227	0.7075342	1.0	0.36465168	0.23759705	0.3012943	0.4205403	0.48602837	0.0
gene288	0.78468466	0.30828622	0.5391035	0.24053936	0.0	0.17642298	0.41303557	0.6352799	0.47678325	0.4869741	0.34544182	0.35779768	0.44123888	0.6675329	0.100548446	0.95937806	0.7054644	1.0	0.71232	0.7361141
gene289	0.53873014	0.2414375	0.24393947	0.2944612	0.14278312	0.1907926	0.28587118	0.7282856	0.516054	0.5456293	0.2415859	0.6378319	0.52975434	0.42918995	0.5693468	1.0	0.23473264	0.77208173	0.0	0.40794513
gene290	0.28281164	0.16277604	1.0	0.5027655	0.4397031	0.057095625	0.2062608	0.31030512	0.60490435	0.4577876	0.15382129	0.42209187	0.0	0.2839513	0.7000898	0.2817439	0.38357267	0.45310634	0.4398768	0.06002131
gene291	1.0	0.26729888	0.97567874	0.5021106	0.5438855	0.91995186	0.94007224	0.6584291	0.88510156	0.75879455	0.9665862	0.9051526	0.62495726	0.40161672	0.45447466	0.0	0.8787781	0.6424892	0.034518592	0.87284833
gene292	0.40832877	0.6175614	0.6689597	0.9392077	1.0	0.8399966	0.44004095	0.52650434	0.6877463	0.48203608	0.20134567	0.45981055	0.14355835	0.88088536	0.21488373	0.32140106	0.13663709	0.11639399	0.55971944	0.0
gene293	0.34473374	0.38099286	0.12681773	0.642967	1.0	0.3565583	0.19813444	0.54566205	0.18142602	0.30630377	0.27675596	0.20735003	0.4471166	0.4447502	0.35023913	0.0	0.11681947	0.22583956	0.28051195	0.2052994
gene294	0.3582004	0.705173	0.18365802	0.6015204	1.0	0.6379762	0.5066818	0.32607007	0.63373876	0.23006064	0.05380322	0.4816619	0.08425858	0.48318186	0.14666122	0.3632572	0.41044447	0.0	0.6464071	0.20643878
gene295	0.12877467	0.73422724	0.0	0.67655456	1.0	0.71295005	0.07510756	0.20495908	0.49571916	0.17179339	0.2617703	0.73737437	0.19811991	0.87740976	0.5722566	0.056646887	0.097364955	0.07391224	0.33864352	0.13050532
gene296	0.14781882	0.48593667	0.6117791	1.0	0.71894336	0.24624151	0.8145641	0.70625454	0.9398301	0.23479536	0.109054655	0.27404946	0.5634748	0.33459252	0.29378983	0.4998197	0.0	0.14374617	0.05165723	0.18812157
gene297	0.43490523	0.474091	0.31308106	0.31318197	0.0	0.52383107	0.44985014	0.33003148	0.6646524	0.45972124	0.62699467	0.5179457	0.768883	0.3449444	0.2144808	0.8682956	0.56529367	0.97226113	0.4490221	1.0
gene298	0.16457795	0.29722762	0.026960403	0.10751112	0.0	0.38828638	0.18935353	0.2243946	0.39279622	0.49286303	0.29733166	0.44269985	0.117057964	0.23938529	0.18140066	0.9059211	0.7325132	1.0	0.4226318	0.93155825
gene299	1.0	0.0	0.6842445	0.16972439	0.18283288	0.22051488	0.27218398	0.16822614	0.35775924	0.7538498	0.12079069	0.062796645	0.35885066	0.411959	0.6607696	0.18208799	0.19305332	0.5266465	0.2460754	0.19009115
gene300	0.2621152	0.6924989	0.15265416	0.7060351	0.6902441	0.31329155	0.5425746	1.0	0.27650347	0.39035723	0.0	0.41140327	0.16112405	0.1725708	0.65043235	0.41908333	0.012349395	0.02466982	0.42188492	0.266062
gene301	0.4120396	0.23888989	0.19168194	0.40367582	1.0	0.18660253	0.22824858	0.47261047	0.19185172	0.113218844	0.21005937	0.07554876	0.39506403	0.1700209	0.10561256	0.0744336	0.16601913	0.10687392	0.16957477	0.0
gene302	0.2741527	0.65121925	0.14878722	0.8264579	1.0	0.9647986	0.3843746	0.4805092	0.0	0.57900316	0.513648	0.71988606	0.8537354	0.5428566	0.51206255	0.70207953	0.39799142	0.23559216	0.41991496	0.36832273
gene303	0.36999342	0.4193156	0.0	0.26230568	0.00074577064	0.36963	0.25491583	0.37382552	0.31261405	0.2571561	0.6563362	0.5205452	0.3477297	0.16286564	0.07237472	1.0	0.5872933	0.72876364	0.5023402	0.57507896
gene304	0.9244432	0.17291597	0.37000546	0.071789235	0.0	0.123735346	0.51265115	0.24790859	0.5300024	0.48892888	0.57083833	0.3149829	0.56543523	0.25733954	0.381539	0.3603441	0.63048214	1.0	0.3788835	0.5198845
gene305	0.066096306	0.030239368	0.5037411	0.15271333	0.015309836	0.023763468	0.4187358	0.3361286	0.36064476	0.1175549	0.083936185	0.9176763	0.0	0.09417862	0.50236666	1.0	0.2544472	0.6447173	0.3785647	0.7024034
gene306	0.4583126	0.36637774	0.28886566	0.5045659	0.1293474	0.0805385	0.44444185	0.16147861	0.118423514	0.3835466	0.27552912	0.13015613	0.37856948	0.0	0.48555025	0.51929826	1.0	0.50686765	0.25871748	0.8941997
gene307	0.2347957	0.32515895	0.8038541	0.30548579	0.026279163	0.21259314	0.108230636	0.086384766	0.4830853	0.46727616	0.4510518	0.0	0.6081791	0.19127157	0.13563824	1.0	0.6945155	0.14684503	0.46706527	0.67720044
gene308	0.21196492	0.021656007	0.0	0.4672852	0.29489714	0.18978858	0.7063788	0.7926338	0.6805506	0.5506954	0.5274185	0.23107105	0.63918513	0.1096483	0.0052161235	0.083264254	0.2833759	1.0	0.49642164	0.7216367
gene309	0.2690712	0.5154792	0.1870083	0.30644298	0.24854732	0.26238674	0.48447663	0.4535605	0.0	0.26304296	0.14492384	0.49353957	0.5836003	1.0	0.459506	0.5423168	0.67186284	0.14872056	0.39365682	0.38143742
gene310	1.0	0.18995078	0.8160052	0.30267626	0.8711434	0.4260679	0.27046505	0.012545591	0.66204125	0.6446001	0.51485527	0.86660725	0.58510435	0.0	0.870294	0.43618572	0.7601983	0.71399343	0.3719118	0.6739262
gene311	0.0	0.63948673	0.22440246	0.2879229	0.27934685	0.42724594	0.31439853	0.7926774	0.21510495	0.4586895	0.6100161	0.23163864	0.5076995	0.5226806	0.1340627	1.0	0.6872702	0.7906272	0.7460309	0.86282367
gene312	0.6327123	0.66923994	0.27140632	0.5650953	0.5788412	0.36086065	0.5967051	0.694302	0.20553555	0.14672913	0.2828921	0.5119336	0.71774834	1.0	0.51868534	0.0	0.21572262	0.22638553	0.26699287	0.037737917
gene313	0.7760871	0.16835442	0.8219279	0.0	0.36738434	0.55431134	1.0	0.61338955	0.35216925	0.63482183	0.67460376	0.4196204	0.42981178	0.54801935	0.59349024	0.14787243	0.37537614	0.36267138	0.3842085	0.15372783
gene314	0.16737203	0.50271857	0.7341113	0.261146	0.0	0.49675453	0.25119406	0.3858725	0.38934705	0.4604389	0.37874535	0.45741764	0.6844846	0.41236633	0.4492248	0.53191733	0.6882509	1.0	0.7468798	0.37052727
gene315	0.3096892	0.69386643	1.0	0.4951919	0.4888145	0.0	0.38305005	0.4345114	0.47421816	0.26795676	0.33116123	0.49795845	0.67806035	0.56567687	0.20198676	0.61302316	0.37800974	0.5805153	0.8244785	0.5774586
gene316	0.23120542	0.7495664	0.34307176	0.60868853	1.0	0.41367957	0.66521937	0.67954135	0.17540945	0.2475357	0.6474186	0.7992358	0.70107466	0.6425181	0.9200422	0.21535847	0.40541565	0.0	0.3041477	0.27534074
gene317	0.36802408	0.50370866	0.06850586	0.904108	1.0	0.6178073	0.5607661	0.6635575	0.023001064	0.45237005	0.3127716	0.20172665	0.33289114	0.6704422	0.4704236	0.20180917	0.50430727	0.14959319	0.044084784	0.0
gene318	0.08512847	0.9685827	0.14009719	0.9970253	0.32327926	1.0	0.97680694	0.36011368	0.26656798	0.26085216	0.7192091	0.9602879	0.9508067	0.34255478	0.57125264	0.9074592	0.0	0.30571252	0.9000527	0.4417981
gene319	0.0	0.18968122	1.0	0.086994655	0.38894314	0.25824147	0.15677126	0.014359349	0.36778426	0.20940103	0.41748902	0.19711782	0.11698134	0.47126085	0.32397208	0.3504412	0.29483333	0.102353685	0.3417082	0.2933384
gene320	0.13827105	1.0	0.08749259	0.6046251	0.44268483	0.67137665	0.72284865	0.79998225	0.001900795	0.071892865	0.41661078	0.25442612	0.60556227	0.74333304	0.46188423	0.0	0.11038144	0.2559931	0.25704956	0.1710286
gene321	0.2676228	0.15687197	0.2558204	0.15200981	0.0	0.46802506	0.21306416	0.12075145	0.44852644	0.5873032	0.34796485	0.2918405	0.37915355	0.15245257	0.13325766	1.0	0.56367445	0.661038	0.4988235	0.7790531
gene322	0.105121516	0.8859609	0.093600005	0.55744165	0.16771686	0.3814794	0.59537435	0.49671564	0.042915832	0.0	0.63769275	0.7862739	0.8742811	1.0	0.5138324	0.29020157	0.08033125	0.2937534	0.0939702	0.46638212
gene323	0.14354752	0.36309567	0.39618072	0.5304242	0.2971009	0.085929	0.26601365	0.14232872	0.027038496	0.15963131	0.18953882	0.20714884	0.028182102	1.0	0.14741002	0.82051194	0.4619685	0.0	0.85289407	0.6576455
gene324	0.33637357	0.70537204	0.025902627	0.6248363	1.0	0.19723853	0.13493958	0.07013963	0.03429744	0.60437965	0.30193323	0.09257784	0.32224813	0.1051161	0.24581629	0.079658926	0.3815306	0.0	0.35159957	0.16217889
gene325	0.29796824	0.407381	0.30619726	0.38103354	0.5188811	0.77987	0.18790999	0.0	0.5485746	1.0	0.6752991	0.47899568	0.14210543	0.34819904	0.88791585	0.33385962	0.5024006	0.34395987	0.43947682	0.49720877
gene326	0.4287586	0.5065373	0.32529357	0.78782797	1.0	0.7647049	0.042669777	0.5996502	0.34262076	0.31286153	0.34532073	0.7463937	0.36076775	0.5361504	0.34895352	0.0	0.20181304	0.1445238	0.14094971	0.24287364
gene327	0.42445004	0.31114414	0.3798485	0.39407694	0.31333324	0.76408905	0.81504804	0.6782597	0.52546686	0.0	0.4244542	0.370986	0.15863279	0.663184	0.49537274	0.17027251	0.3784007	1.0	0.49922574	0.11189948
gene328	0.33396575	0.23284675	0.27085838	0.03848409	0.0	0.089315176	0.23352566	0.09612997	0.27324826	0.26330647	0.15699528	0.22238237	0.24561603	0.12913027	0.17212091	1.0	0.4821677	0.65644574	0.3961628	0.71568257
gene329	0.27090648	0.29999468	0.15538745	0.6493367	0.0	0.36821547	0.53917056	0.22812118	0.40745845	0.6535383	1.0	0.7193702	0.3227297	0.75675964	0.15960562	0.687275	0.8425363	0.605607	0.63573414	0.63056475
gene330	0.18781504	0.89144766	0.0	0.6671462	0.6738991	1.0	0.47275507	0.71156657	0.5717709	0.71873707	0.7962376	0.39727426	0.6706365	0.54991335	0.61445147	0.14472936	0.016440254	0.5476456	0.13239369	0.33163255
gene331	0.6751016	0.035627656	0.91028965	0.3921464	1.0	0.0111206975	0.33075312	0.3250617	0.3392889	0.27701196	0.121879786	0.002813897	0.1633135	0.64529157	0.33425057	0.45697144	0.36077195	0.39514256	0.1793252	0.0
gene332	0.3438826	0.7168465	0.0	0.4976124	0.37019485	0.6972932	0.3898713	1.0	0.07037336	0.45719182	0.5895284	0.17766851	0.5635275	0.68781185	0.45825282	0.015463267	0.2146073	0.20134556	0.50721043	0.17973724
gene333	0.41769642	0.046963446	1.0	0.049332306	0.50619406	0.0	0.23597245	0.1643688	0.74753106	0.4332003	0.44922176	0.14427222	0.28836727	0.119939215	0.58830404	0.6240699	0.4996702	0.10504476	0.14551495	0.4297524
gene334	0.20051749	0.49563256	0.335072	0.122706205	0.066182956	0.0	0.4406528	0.07860522	0.29623666	0.8458582	0.34597206	0.18639323	0.5881618	0.13313477	0.4109706	0.9725076	0.6358405	1.0	0.27513275	0.692989
gene335	0.1596584	0.771757	0.0	0.3111828	0.20137203	0.55145186	0.26152626	0.57824534	0.19981733	0.4459278	0.3692347	0.6337437	0.7531771	1.0	0.47774488	0.53984	0.39932752	0.29302397	0.31499472	0.5635233
gene336	0.7475885	0.13604987	0.79234964	0.0	0.06821879	0.11876856	0.5261468	0.349609	0.5833439	0.5931348	0.6622547	0.7890191	0.41752198	0.29500288	0.4876963	0.7967203	1.0	0.9051869	0.5745164	0.9349293
gene337	0.30296013	1.0	0.031907227	0.75427175	0.74140406	0.6284627	0.568436	0.6332179	0.0	0.2331816	0.58011085	0.51395637	0.52036744	0.41300112	0.65202296	0.14681077	0.022070628	0.18663685	0.20566629	0.3151916
gene338	0.21836203	0.62654746	0.05587899	0.03614747	0.0	0.17845947	0.23600493	0.23253526	0.30291775	0.00047495752	0.058768168	0.6640666	0.0062742215	0.5904895	0.31254396	0.52070653	0.56225467	0.54333097	0.22790787	1.0
gene339	0.7728105	0.5240751	0.92575806	0.69562805	0.7727091	0.54059964	0.348894	0.62954736	1.0	0.84439194	0.3518577	0.58195615	0.40235463	0.31304193	0.5211342	0.28835985	0.0	0.6631826	0.7469646	0.61904275
gene340	0.123536274	0.44787458	0.32256925	0.24228232	0.6130066	0.39873466	0.33204478	0.6762804	0.0	0.31105307	0.5004204	0.33950323	0.6794838	0.1636742	0.13394296	0.04390419	1.0	0.01629929	0.04972508	0.6911844
gene341	0.2221519	0.35134944	0.18941331	0.38716644	0.1952711	0.48123258	0.0	0.16709863	0.28342944	0.21527718	0.39002693	0.35854515	0.4456413	0.24900737	0.37381595	1.0	0.23278609	0.7254932	0.22483642	0.61218035
gene342	0.11904604	0.49145746	0.0	0.007869334	0.18490148	0.2114822	0.5488594	0.14155826	0.6953572	0.66739225	0.6542788	0.7422374	0.03780984	0.27546132	0.36657444	0.7221158	0.6096706	0.70515573	0.5592698	1.0
gene343	0.23056513	0.42152193	0.4689654	0.8344497	1.0	0.5080809	0.7122784	0.8331559	0.14332686	0.28625187	0.47556207	0.23299754	0.5761085	0.8621581	0.22438276	0.17362629	0.2635623	0.0	0.33966014	0.35093653
gene344	0.0043479973	0.37188116	0.28097686	0.41600952	1.0	0.9755736	0.8328855	0.69480586	0.9282535	0.44573832	0.12913842	0.25142202	0.51036966	0.0	0.19375551	0.7744111	0.5448933	0.3007428	0.40932065	0.26563564
gene345	0.0	0.19751553	0.15096217	1.0	0.48868188	0.69226515	0.17295735	0.103020996	0.6335369	0.29647243	0.5227793	0.4057034	0.08845897	0.11949712	0.02293479	0.43049148	0.09861029	0.27080655	0.4723629	0.3373049
gene346	0.03608607	0.28754282	0.07842081	0.2774482	0.22384022	0.20393416	0.0859179	0.005371906	0.19423823	0.079376854	0.17338726	0.041239165	0.10873474	0.3678957	0.09508036	1.0	0.0021240725	0.0	0.26253855	0.019287985
gene347	0.42588547	0.59830457	0.6531472	0.6786704	0.6655975	0.6275103	0.9442043	0.7261056	0.77752346	0.43676656	0.1735205	0.2199755	0.43935645	1.0	0.36948693	0.0	0.30320442	0.3040141	0.48223442	0.031277847
gene348	0.8337638	0.569795	0.27794388	0.7505986	0.5489064	0.2585992	0.33338568	1.0	0.5047692	0.42781726	0.4179602	0.6175345	0.6391975	0.83513176	0.7224083	0.0	0.105861254	0.42879078	0.7146372	0.053635668
gene349	0.42785043	0.26095566	0.68938196	0.15138902	0.0	0.1694489	0.24385607	0.045954958	1.0	0.2540686	0.25186354	0.20996343	0.03942187	0.14085186	0.38010028	0.28989094	0.00627735	0.1314598	0.30309257	0.2911616
gene350	0.7891979	1.0	0.31932095	0.8805257	0.28874397	0.60827255	0.63763654	0.98700553	0.5833255	0.32082334	0.32814157	0.38280612	0.89753765	0.8255925	0.0	0.08362499	0.24807528	0.027936347	0.40182576	0.11612239
gene351	0.37037703	0.0	1.0	0.16058823	0.17476545	0.12828209	0.16644071	0.11143907	0.42194468	0.27420714	0.095104724	0.16266872	0.051190786	0.22637278	0.2110887	0.394881	0.49441457	0.4243614	0.24408223	0.059811775
gene352	0.53325015	0.64750886	0.0	0.32907075	0.07303443	0.64656717	0.36764905	0.08559379	1.0	0.31222236	0.2952124	0.14190634	0.03325761	0.7360092	0.4907245	0.19601503	0.56619173	0.6045307	0.4225363	0.88736993
gene353	0.1374255	0.26387563	0.14557265	0.1431877	0.0	0.3207761	0.21517582	0.19182678	0.43823257	0.46026784	0.5111608	0.38142982	0.24019802	0.2288851	0.16737878	1.0	0.5606767	0.7754789	0.41516268	0.8890809
